Date,Open,High,Low,Close,Volume
2020-08-11,94.66,96.00,94.37,95.56,298640
2020-08-12,96.00,97.28,95.49,96.08,371620
2020-08-13,96.30,97.57,94.59,95.23,562450
2020-08-14,95.15,96.91,95.12,95.51,1290000
2020-08-17,95.24,98.55,94.85,98.08,656980
2020-08-18,98.32,98.32,96.74,97.68,913270
2020-08-19,96.86,96.86,94.93,96.12,1220000
2020-08-20,96.12,96.60,92.85,96.07,474110
2020-08-21,95.67,95.67,94.33,94.68,215940
2020-08-24,94.54,95.99,94.47,95.81,401400
2020-08-25,95.77,96.79,91.90,95.77,609850
2020-08-26,95.54,95.65,93.39,94.25,471470
2020-08-27,94.30,96.78,94.10,95.57,437030
2020-08-28,94.11,95.50,93.86,94.88,200380
2020-08-31,94.87,94.98,90.91,91.80,3160000
2020-09-01,91.69,93.35,90.46,92.91,635990
2020-09-02,93.80,93.80,90.45,91.59,840550
2020-09-03,91.00,92.24,88.65,89.64,595090
2020-09-04,89.25,89.85,87.26,88.51,610770
2020-09-07,91.47,91.47,87.00,88.89,16200
2020-09-08,87.00,88.94,84.94,86.31,801530
2020-09-09,86.65,87.85,86.21,86.35,357190
2020-09-10,86.23,86.94,84.89,86.36,1350000
2020-09-11,86.69,86.78,84.71,86.31,379950
2020-09-14,86.90,86.90,85.47,86.63,537990
2020-09-15,86.82,86.82,85.90,86.26,263650
2020-09-17,86.25,86.93,85.02,86.39,695640
2020-09-18,87.00,88.64,86.36,88.26,2190000
2020-09-21,88.49,90.72,88.23,89.20,408450
2020-09-22,89.24,90.70,88.80,89.77,582560
2020-09-23,90.50,91.42,89.40,91.07,737580
2020-09-24,91.12,91.12,87.86,88.87,580280
2020-09-25,89.14,91.00,88.63,90.33,785700
2020-09-28,90.99,92.43,89.05,90.49,550280
2020-09-29,90.89,90.89,88.26,88.97,340010
2020-09-30,89.32,91.00,88.69,90.19,1030000
2020-10-01,90.01,90.65,87.98,88.20,332780
2020-10-02,88.12,90.08,87.51,89.38,161750
2020-10-05,89.50,90.24,89.01,89.73,559520
2020-10-06,89.54,90.49,88.77,89.56,419040
2020-10-07,89.53,90.50,89.31,90.26,632720
2020-10-08,90.60,90.98,89.85,90.58,1060000
2020-10-09,91.00,92.40,89.50,90.94,718730
2020-10-12,92.12,92.12,90.00,90.72,632180
2020-10-13,90.09,90.53,88.71,88.85,339580
2020-10-14,89.49,90.00,87.37,88.37,614090
2020-10-15,88.60,89.23,86.78,86.96,1070000
2020-10-16,86.80,87.86,86.00,86.63,632330
2020-10-19,87.23,87.43,85.10,85.95,610220
2020-10-20,86.68,87.78,85.10,87.04,516400
2020-10-21,87.56,89.10,87.23,87.99,475410
2020-10-22,88.46,89.01,87.16,87.72,779060
2020-10-23,87.91,88.26,86.71,87.28,445250
2020-10-26,89.70,89.70,85.81,86.29,256630
2020-10-27,86.35,86.78,84.96,85.42,430490
2020-10-28,84.89,85.25,82.08,82.82,504720
2020-10-29,81.78,82.00,77.17,77.30,530540
2020-10-30,77.34,80.73,77.00,80.32,1230000
2020-11-03,80.30,82.64,80.22,82.10,673090
2020-11-04,81.86,83.98,81.76,83.08,437040
2020-11-05,83.90,86.11,83.19,85.88,682540
2020-11-06,86.00,87.06,84.48,85.79,884430
2020-11-09,87.21,89.50,86.12,86.90,764490
2020-11-10,86.86,89.65,86.86,88.24,1220000
2020-11-11,88.98,92.00,88.98,91.94,1080000
2020-11-12,91.99,91.99,89.44,90.05,388970
2020-11-13,90.36,92.00,89.70,91.90,374560
2020-11-17,91.90,92.48,91.51,92.19,2390000
2020-11-18,92.64,92.64,91.61,92.13,1160000
2020-11-19,91.95,92.47,91.31,92.23,1750000
2020-11-20,92.30,92.67,91.49,92.32,954810
2020-11-23,92.38,92.38,90.91,91.16,646880
2020-11-24,91.65,92.28,90.75,91.73,807200
2020-11-25,92.00,92.01,90.77,91.79,932450
2020-11-26,91.69,92.00,90.34,91.79,631840
2020-11-27,92.00,92.20,87.76,88.24,330830
2020-11-30,88.13,91.88,88.13,91.06,4780000
2020-12-01,91.29,92.72,90.57,91.84,1210000
2020-12-02,91.84,94.00,91.25,93.88,907400
2020-12-03,93.70,93.70,91.81,92.31,873190
2020-12-04,93.30,94.10,92.09,92.92,888190
2020-12-07,93.03,93.04,90.95,91.87,534730
2020-12-08,91.99,92.27,90.35,90.95,827570
2020-12-09,90.88,91.60,90.48,90.89,532650
2020-12-10,91.53,92.77,91.37,92.39,1060000
2020-12-11,92.60,92.79,91.11,92.14,671980
2020-12-14,91.50,92.42,91.25,91.91,617960
2020-12-15,93.00,93.14,90.77,91.02,307760
2020-12-16,91.21,91.21,90.16,90.86,385110
2020-12-17,90.68,92.54,90.68,92.02,853980
2020-12-18,92.13,92.72,90.83,92.15,3250000
2020-12-21,91.10,92.21,90.01,90.49,463960
2020-12-22,90.16,90.50,89.29,89.51,405850
2020-12-23,90.12,90.65,89.55,90.48,220250
2020-12-24,89.91,90.74,89.69,89.91,94010
2020-12-28,90.41,92.12,90.11,91.97,117960
2020-12-29,91.56,93.52,91.25,92.94,305440
2020-12-30,93.25,94.29,91.95,92.87,218470
2020-12-31,92.38,92.50,91.00,91.51,254690
2021-01-04,92.24,93.32,90.57,91.04,452020
2021-01-05,91.20,92.67,90.63,91.89,571920
2021-01-06,92.87,94.65,91.76,92.05,653920
2021-01-07,93.77,94.04,93.07,93.49,658110
2021-01-08,93.93,94.64,92.71,93.74,643400
2021-01-11,94.00,94.20,92.50,92.99,474630
2021-01-12,93.06,94.04,92.20,92.62,614960
2021-01-13,92.49,93.39,91.70,92.79,382710
2021-01-14,92.20,94.47,91.53,93.10,591020
2021-01-15,93.50,94.20,92.21,92.70,489940
2021-01-18,92.73,93.47,90.15,91.77,299630
2021-01-19,92.49,92.80,90.00,92.14,824460
2021-01-20,92.20,92.24,90.05,91.19,1200000
2021-01-21,91.95,93.45,90.98,91.49,1160000
2021-01-22,91.64,92.54,90.56,92.45,744150
2021-01-25,93.55,93.70,91.29,91.79,908190
2021-01-26,91.87,93.70,90.76,93.23,807870
2021-01-27,91.61,93.67,90.00,90.33,1030000
2021-01-28,90.20,90.99,90.12,90.64,966940
2021-01-29,90.64,90.64,87.68,88.92,1300000
2021-02-02,89.21,91.40,89.21,90.68,697090
2021-02-03,90.94,91.54,89.60,90.25,817200
2021-02-04,90.25,90.76,89.15,89.28,1280000
2021-02-05,89.57,90.78,89.47,90.30,341620
2021-02-08,90.48,90.57,88.60,89.35,512880
2021-02-09,89.79,90.93,89.61,90.33,504280
2021-02-10,90.95,91.50,88.31,90.09,649550
2021-02-11,89.74,90.56,87.91,88.49,491960
2021-02-12,88.95,90.06,88.56,89.51,199980
2021-02-15,89.84,90.00,88.01,88.06,20840
2021-02-16,89.20,91.60,89.20,91.08,345340
2021-02-17,91.00,92.39,90.99,91.81,1050000
2021-02-18,91.84,94.40,90.85,93.11,891850
2021-02-19,93.32,94.45,92.27,92.45,980690
2021-02-22,92.82,93.99,91.17,91.61,1010000
2021-02-23,91.03,91.96,89.70,89.96,654310
2021-02-24,90.43,91.35,89.50,90.43,434370
2021-02-25,91.86,92.51,88.52,88.96,971800
2021-02-26,88.66,90.22,86.71,87.79,2560000
2021-03-01,88.00,89.56,87.58,89.02,1590000
2021-03-02,88.88,91.45,88.88,90.99,713520
2021-03-03,91.50,93.17,90.94,92.97,885720
2021-03-04,93.29,97.02,92.07,96.18,1300000
2021-03-05,96.85,99.99,96.76,98.64,820480
2021-03-08,98.48,101.88,98.27,100.95,890610
2021-03-09,100.68,100.79,98.68,100.00,691450
2021-03-10,99.70,100.30,98.05,98.64,918400
2021-03-11,98.52,99.87,97.90,98.72,1100000
2021-03-12,99.33,100.35,98.23,98.48,988120
2021-03-16,97.81,100.17,97.81,99.70,1380000
2021-03-17,99.99,101.12,99.25,99.68,1070000
2021-03-18,100.17,100.50,98.09,98.54,1710000
2021-03-19,98.10,99.01,94.90,95.97,8960000
2021-03-22,96.12,97.85,95.93,97.12,573900
2021-03-23,97.37,98.22,97.12,97.41,805490
2021-03-24,97.53,97.53,96.51,97.08,739910
2021-03-25,96.64,96.91,95.74,96.21,808910
2021-03-26,97.02,97.02,94.72,94.93,681300
2021-03-29,95.80,96.24,94.62,95.48,1460000
2021-03-30,95.45,95.93,94.20,95.55,1360000
2021-03-31,95.32,95.80,93.89,94.41,1630000
2021-04-05,96.75,96.75,93.90,94.28,1070000
2021-04-06,94.29,94.96,93.70,94.61,952360
2021-04-07,93.50,95.00,93.50,94.50,1460000
2021-04-08,94.83,96.99,94.40,96.39,890430
2021-04-09,96.39,97.11,95.20,96.91,1010000
2021-04-12,96.47,96.80,96.11,96.33,808400
2021-04-13,96.16,96.98,95.92,96.39,1270000
2021-04-14,97.00,97.00,95.55,95.85,975730
2021-04-15,95.91,96.28,95.06,95.80,1520000
2021-04-16,95.80,96.07,94.01,94.16,1050000
2021-04-19,94.21,95.52,94.01,95.01,767780
2021-04-20,95.30,95.98,94.42,95.85,1010000
2021-04-21,95.89,97.85,95.26,97.71,1020000
2021-04-22,98.00,98.93,97.53,98.07,1170000
2021-04-23,98.56,99.68,97.60,98.87,852930
2021-04-26,98.94,100.00,97.82,98.09,899600
2021-04-27,98.40,99.50,96.37,96.97,1170000
2021-04-28,96.81,97.50,96.24,96.74,1010000
2021-04-29,98.00,98.18,96.37,97.70,935330
2021-04-30,95.90,95.90,94.26,94.83,1180000
2021-05-03,95.06,96.01,94.51,95.01,709440
2021-05-04,95.48,95.58,94.31,94.90,721260
2021-05-05,95.50,95.50,94.16,94.58,537840
2021-05-06,95.20,96.39,94.85,95.93,872330
2021-05-07,95.93,96.77,93.48,93.88,629460
2021-05-10,93.88,96.98,93.88,96.78,766960
2021-05-11,96.99,96.99,95.62,96.59,536940
2021-05-12,97.00,97.00,94.21,94.46,632300
2021-05-13,94.94,96.13,94.16,95.76,633050
2021-05-14,96.15,97.40,95.90,97.12,775600
2021-05-17,97.36,97.52,96.21,96.71,612800
2021-05-18,97.19,98.80,96.56,98.36,703340
2021-05-19,98.16,98.36,97.01,98.02,1110000
2021-05-20,98.89,98.89,97.40,98.19,1310000
2021-05-21,98.39,98.83,97.23,98.08,405590
2021-05-24,98.28,98.28,97.00,97.22,415490
2021-05-25,97.29,97.50,95.77,96.00,631750
2021-05-26,96.47,96.78,94.67,96.50,649380
2021-05-27,96.56,97.48,95.63,96.02,4770000
2021-05-28,96.42,97.63,95.62,97.49,971600
2021-05-31,96.21,99.99,96.21,99.17,280250
2021-06-01,99.50,99.90,98.31,99.28,762050
2021-06-02,99.90,100.30,96.99,97.79,1900000
2021-06-03,97.91,98.90,97.00,98.72,918740
2021-06-04,98.00,99.27,98.00,99.04,318040
2021-06-07,99.32,101.24,98.81,100.57,774270
2021-06-08,100.37,100.65,99.00,100.24,636670
2021-06-09,100.08,101.35,99.15,100.98,1620000
2021-06-10,101.40,102.00,100.56,101.06,575430
2021-06-11,101.50,102.30,101.26,102.12,476170
2021-06-14,102.20,102.68,101.82,102.09,494050
2021-06-15,102.50,104.26,101.61,103.43,580190
2021-06-16,104.00,106.00,103.47,105.68,1090000
2021-06-17,105.88,109.00,105.15,105.37,1280000
2021-06-18,104.99,106.80,103.62,105.59,1540000
2021-06-21,105.59,106.50,105.44,105.71,584020
2021-06-22,105.88,106.37,104.55,104.76,444950
2021-06-23,104.92,104.92,103.25,103.50,303210
2021-06-24,103.46,103.46,102.15,103.03,242500
2021-06-25,102.44,103.38,101.67,103.24,387020
2021-06-28,103.59,103.60,102.36,102.90,357630
2021-06-29,102.38,103.60,101.92,103.48,479910
2021-06-30,103.57,105.84,102.78,105.47,1050000
2021-07-01,105.54,106.37,104.54,105.82,679530
2021-07-02,105.43,105.43,104.61,104.96,187430
2021-07-05,104.01,104.95,103.60,104.27,45140
2021-07-06,104.28,105.50,104.09,105.27,263890
2021-07-07,104.86,105.36,103.63,105.06,850670
2021-07-08,104.89,104.97,103.31,104.39,534650
2021-07-09,104.30,104.77,103.76,104.21,280480
2021-07-12,104.33,105.15,103.84,104.98,283040
2021-07-13,105.20,105.99,104.05,104.39,431230
2021-07-14,104.39,104.40,103.52,104.14,389500
2021-07-15,104.58,107.28,104.39,105.70,734460
2021-07-16,106.19,106.58,104.75,106.09,428850
2021-07-19,105.33,106.20,104.19,105.46,921130
2021-07-20,106.20,106.90,104.82,105.22,186190
2021-07-21,106.30,107.24,105.92,106.08,191470
2021-07-22,105.95,106.48,104.99,106.06,403300
2021-07-23,105.85,106.27,105.29,105.72,198970
2021-07-26,105.11,108.63,104.59,107.40,546630
2021-07-27,108.44,109.90,107.77,109.44,523980
2021-07-28,109.54,111.14,108.84,110.55,306220
2021-07-29,111.00,113.00,110.84,112.10,830750
2021-07-30,112.93,113.39,112.13,112.85,1180000
2021-08-02,112.70,113.89,112.00,112.67,313590
2021-08-03,112.46,113.89,110.80,113.51,676160
2021-08-04,113.20,113.63,112.02,113.31,594270
2021-08-05,113.31,114.30,112.52,113.03,427040
2021-08-06,112.67,115.22,112.67,114.58,520190
2021-08-09,114.76,115.19,114.24,114.74,536020
2021-08-10,114.90,115.23,114.17,114.50,539930
2021-08-11,114.13,114.61,112.63,113.47,385670
2021-08-12,113.71,114.79,112.62,114.66,249720
2021-08-13,114.80,116.97,114.50,116.75,520330
2021-08-16,116.79,117.55,115.85,117.08,129560
2021-08-17,116.60,117.81,115.40,116.85,670520
2021-08-18,116.80,117.85,115.84,116.57,311640
2021-08-19,115.96,116.53,114.00,115.06,454960
2021-08-20,115.22,117.47,115.22,116.27,330690
2021-08-23,117.13,118.40,117.11,117.34,352850
2021-08-24,116.92,117.83,116.07,116.72,524440
2021-08-25,117.40,117.40,115.47,116.56,616630
2021-08-26,115.61,116.40,115.25,115.90,1010000
2021-08-27,116.30,116.30,113.90,114.77,575250
2021-08-30,115.00,115.51,114.32,114.96,383990
2021-08-31,115.90,116.53,115.03,116.27,2350000
2021-09-01,116.05,116.12,113.86,114.13,545800
2021-09-02,114.14,115.11,113.27,114.86,332550
2021-09-03,114.23,114.80,113.26,113.59,250620
2021-09-06,113.59,115.00,112.92,114.74,24780
2021-09-07,114.31,114.74,113.42,113.59,353800
2021-09-08,113.55,114.32,112.31,113.11,561570
2021-09-09,113.23,113.23,112.10,112.86,279640
2021-09-10,112.89,114.00,112.56,112.96,335390
2021-09-13,113.59,113.86,112.20,113.01,227050
2021-09-14,112.81,115.09,112.27,114.75,603660
2021-09-15,115.10,116.35,114.38,115.41,352560
2021-09-17,116.19,116.19,113.63,113.98,3190000
2021-09-20,112.93,114.00,111.69,113.79,543820
2021-09-21,113.96,115.03,113.35,114.48,1020000
2021-09-22,114.69,116.00,114.60,115.58,568440
2021-09-23,115.80,116.00,115.12,115.51,188630
2021-09-24,115.70,116.66,115.52,115.75,234690
2021-09-27,116.10,116.60,115.90,116.29,392650
2021-09-28,116.60,116.60,114.90,115.93,479570
2021-09-29,116.16,117.34,115.65,116.47,627630
2021-09-30,116.66,117.10,115.84,116.32,618180
2021-10-01,115.50,115.50,112.52,113.67,341390
2021-10-04,114.23,115.39,111.51,112.16,305200
2021-10-05,112.99,114.72,112.54,114.47,206490
2021-10-06,113.95,114.61,111.79,113.66,500150
2021-10-07,114.00,115.48,112.13,112.65,362020
2021-10-08,112.59,113.99,111.80,112.25,236040
2021-10-11,113.99,114.30,113.19,113.49,237870
2021-10-12,114.24,114.90,113.70,114.02,428070
2021-10-13,114.12,114.15,112.50,113.00,321310
2021-10-14,113.01,114.61,112.85,113.96,601000
2021-10-15,114.59,115.33,113.96,114.98,326580
2021-10-18,115.50,115.50,112.85,113.07,381450
2021-10-19,112.50,112.84,110.69,111.16,531680
2021-10-20,110.75,112.78,109.00,109.69,667860
2021-10-21,109.66,110.00,108.17,108.92,1150000
2021-10-22,108.65,109.71,107.84,109.36,615170
2021-10-25,109.47,110.51,109.09,109.98,608290
2021-10-26,110.89,112.53,109.96,112.33,1480000
2021-10-27,112.07,113.03,111.05,111.29,493820
2021-10-28,112.80,113.17,109.07,112.18,370780
2021-10-29,110.01,111.66,109.34,110.95,457150
2021-11-01,112.24,113.00,110.96,112.93,131570
2021-11-03,112.93,113.73,111.10,112.38,636110
2021-11-04,111.89,113.01,111.34,112.64,316940
2021-11-05,112.50,112.50,110.28,111.19,258850
2021-11-08,111.22,111.22,108.62,109.40,301750
2021-11-09,109.30,111.10,108.42,110.45,699840
2021-11-10,109.46,111.50,109.42,111.34,328580
2021-11-11,110.00,111.47,109.69,111.35,278720
2021-11-12,111.19,111.20,109.26,109.72,375000
2021-11-16,109.26,109.99,105.92,106.11,509630
2021-11-17,105.60,106.30,104.82,106.06,281690
2021-11-18,106.81,107.02,104.96,106.90,238060
2021-11-19,106.71,106.99,105.68,106.48,703740
2021-11-22,107.23,108.34,106.21,106.50,816640
2021-11-23,106.93,108.07,106.88,107.19,589750
2021-11-24,107.79,109.30,105.22,106.01,477560
2021-11-25,107.00,108.00,102.52,103.67,228270
2021-11-26,103.50,105.89,100.02,101.17,833570
2021-11-29,101.52,104.66,101.52,104.43,859890
2021-11-30,103.20,106.09,101.11,105.31,5940000
2021-12-01,105.63,108.01,105.15,106.38,1140000
2021-12-02,106.69,108.70,106.20,108.16,1250000
2021-12-03,108.05,110.16,107.19,107.38,880930
2021-12-06,107.21,108.26,106.15,107.31,563590
2021-12-07,107.74,107.85,105.48,107.40,343800
2021-12-08,106.85,108.20,106.80,108.02,635800
2021-12-09,108.00,108.53,107.19,107.90,525990
2021-12-10,111.00,111.00,106.68,108.24,382890
2021-12-13,107.58,108.32,106.53,107.76,682870
2021-12-14,107.66,108.74,106.74,108.55,713150
2021-12-15,108.09,108.52,104.78,105.50,505850
2021-12-16,105.52,107.08,105.52,106.33,501930
2021-12-17,105.57,110.03,105.05,109.71,3740000
2021-12-20,108.27,110.99,108.27,110.43,320660
2021-12-21,110.82,113.28,110.75,111.77,424590
2021-12-22,111.70,112.49,111.10,111.81,387320
2021-12-23,111.76,112.65,111.13,112.57,361320
2021-12-24,109.20,113.50,109.20,113.50,30490
2021-12-27,113.17,113.80,112.60,113.01,172840
2021-12-28,112.44,113.14,111.33,111.47,295970
2021-12-29,111.29,111.78,110.71,111.06,163630
2021-12-30,111.20,112.45,110.75,111.54,572600
2021-12-31,111.14,112.91,111.00,111.70,287870
2022-01-03,112.73,112.99,111.09,111.95,81770
2022-01-04,112.80,113.11,112.24,112.96,363660
2022-01-05,112.52,112.95,110.52,111.23,271750
2022-01-06,110.51,111.79,109.75,110.83,543930
2022-01-07,110.60,111.12,109.39,109.71,278660
2022-01-10,110.29,111.89,109.38,109.82,701900
2022-01-11,110.29,112.64,110.04,111.67,887300
2022-01-12,111.48,113.77,111.20,113.07,942560
2022-01-13,112.01,113.50,111.49,111.97,553390
2022-01-14,111.99,113.68,111.64,113.39,550440
2022-01-17,112.02,114.00,112.02,113.45,49440
2022-01-18,113.45,113.56,111.58,112.50,488710
2022-01-19,112.40,112.40,108.70,110.30,439670
2022-01-20,110.37,110.92,109.10,109.54,315160
2022-01-21,109.47,110.87,108.56,109.20,398620
2022-01-24,109.10,109.43,106.70,108.48,686920
2022-01-25,108.51,111.14,107.80,110.78,886520
2022-01-26,111.26,112.24,110.47,110.70,427050
2022-01-27,112.23,113.20,109.55,110.05,321320
2022-01-28,110.50,110.54,108.71,108.84,616550
2022-01-31,108.60,109.42,107.48,108.27,852850
2022-02-01,109.39,109.39,107.21,108.40,485020
2022-02-02,108.32,111.82,108.32,111.09,604780
2022-02-03,109.98,111.02,108.74,109.05,509810
2022-02-04,108.51,109.50,108.10,108.93,196770
2022-02-08,109.12,110.63,108.93,110.31,500790
2022-02-09,110.17,110.54,109.56,110.03,262680
2022-02-10,109.99,111.34,108.05,108.86,386250
2022-02-11,108.05,110.63,107.97,109.98,285570
2022-02-14,108.84,108.84,105.96,106.91,564930
2022-02-15,107.40,109.48,107.40,109.03,345260
2022-02-16,108.50,109.54,108.07,109.32,283470
2022-02-17,108.88,109.41,108.01,108.79,307220
2022-02-18,108.26,108.85,107.01,108.62,469170
2022-02-21,108.76,114.68,107.90,112.59,61750
2022-02-22,110.60,112.63,108.06,112.44,516799
2022-02-23,112.22,112.22,108.37,109.13,572440
2022-02-24,108.11,108.97,105.82,108.46,448070
2022-02-25,108.53,113.40,108.47,112.77,234420
2022-02-28,111.34,113.40,110.29,112.48,1590000
2022-03-01,111.64,113.00,109.10,109.62,593610
2022-03-02,110.30,113.50,110.30,112.99,970790
2022-03-03,112.28,113.47,110.85,111.40,845780
2022-03-04,111.27,111.34,109.32,110.17,489610
2022-03-07,110.50,111.94,106.45,109.54,608370
2022-03-08,110.34,110.84,108.53,109.22,570790
2022-03-09,109.17,110.49,108.58,110.25,396340
2022-03-10,109.75,110.55,107.24,107.69,670630
2022-03-11,108.41,109.20,107.53,107.95,287170
2022-03-14,108.16,108.79,105.71,105.92,2430000
2022-03-15,106.68,106.90,105.45,106.08,1930000
2022-03-16,109.30,110.09,107.14,107.92,934220
2022-03-17,107.66,108.99,107.11,108.75,632430
2022-03-18,108.63,108.63,105.99,106.56,7000000
2022-03-22,106.84,107.30,106.00,106.76,596570
2022-03-23,106.97,107.30,106.19,107.11,558050
2022-03-24,106.75,108.13,106.32,107.77,656320
2022-03-25,107.77,108.33,105.80,108.08,697980
2022-03-28,108.20,108.34,106.88,107.77,328690
2022-03-29,107.67,110.57,107.22,109.47,972510
2022-03-30,110.37,110.37,105.80,105.99,865880
2022-03-31,106.58,109.80,106.28,109.53,917870
2022-04-01,109.53,111.32,109.37,110.95,518929
2022-04-04,110.95,111.25,109.75,110.68,198230
2022-04-05,110.00,110.65,108.55,110.38,324990
2022-04-06,109.83,111.47,109.83,111.03,503990
2022-04-07,111.03,111.03,109.42,110.21,584170
2022-04-08,110.04,110.99,109.45,110.82,258390
2022-04-11,110.99,111.73,109.44,110.04,481530
2022-04-12,110.32,111.01,109.68,110.12,573320
2022-04-13,110.76,110.94,109.45,110.42,257050
2022-04-18,110.90,113.10,110.73,112.05,358890
2022-04-19,112.29,113.20,112.00,112.51,808580
2022-04-20,113.06,114.02,112.19,113.83,1030000
2022-04-21,114.27,116.39,114.13,114.63,1020000
2022-04-22,114.91,115.48,113.81,114.31,538520
2022-04-25,114.40,114.40,112.38,113.11,489890
2022-04-26,113.79,113.79,110.06,110.46,608170
2022-04-27,111.02,111.98,110.29,110.59,648490
2022-04-28,111.99,113.39,111.39,112.83,804280
2022-04-29,112.85,112.85,109.62,111.27,682930
2022-05-02,111.11,111.14,107.59,108.52,263810
2022-05-03,110.00,111.85,109.10,109.63,878340
